Central_face,Forehead,Forehead_left,Forehead_right,Lower_lip,Nose,Peripheral_face
-0.400223936,-0.865920838,-1.334997210,0.114403382,0.882852788,-1.161006390,1.716187909
0.324977621,-0.683993796,-0.896724766,-0.413320527,0.183604329,-0.762722731,-0.643357415
0.819670256,0.207265014,0.066980644,0.846036033,0.774426027,0.448260597,0.714621611
1.160126454,1.031823650,0.902910428,0.871016251,-0.352402719,0.678868455,-0.044883374
1.728709255,1.772752147,1.607536168,1.854024860,1.085185390,1.469175626,-0.138301948
1.221351110,0.588039757,0.670950721,0.213404259,0.595384115,1.703690630,0.334460480
1.371287105,1.768970662,1.601471564,2.086560600,0.597321997,0.695479209,-0.113439997
1.134848255,0.978438887,0.576160358,0.627488149,0.567068723,0.570684178,0.667842009
0.556978592,0.572072417,-0.004727026,1.483960762,0.440776163,0.240907525,0.093505703
0.350911749,0.621208666,0.437569327,0.871930154,-0.229164267,0.771750960,-1.302005824
0.744027523,0.765492052,1.591206007,-0.020877156,-0.268399788,0.888921240,-1.220633903
0.917143837,0.247659256,0.112302758,0.244398382,0.257629550,0.977421229,0.080442340
0.499757281,0.853031791,1.327376875,0.139547702,0.053047447,0.440401941,0.434282878
0.339885876,-0.475521879,-0.727968406,-0.166860805,-1.242761807,0.700128422,1.330967423
-0.350657051,-0.928100906,-1.702511530,-0.010956153,-0.149857366,-0.540737975,-0.693735937
-0.692682151,-0.336525867,-0.115141453,-0.889563330,-1.224149947,-0.607781745,1.385704870
-0.859132676,-1.172483992,-1.539391157,-1.526042255,-0.714986049,-0.801308789,-1.151025050
-0.823442129,-2.036401688,-1.544381163,-1.925404984,-1.636343645,-1.858949491,0.465513065
-1.766917833,-1.749407081,-1.679200445,-1.079996397,-2.260237622,-1.936464258,-1.958114161
-1.421195238,-1.915827424,-1.362098354,-2.051531874,-1.786206995,-1.343936480,0.016281300
-0.984416005,-1.779351829,-1.316273707,-0.968645097,-1.218328820,-0.907616781,-0.065585091
-0.216933687,-0.492216063,-0.309909328,-0.050579806,-0.893234244,-0.119265476,-2.669773536
0.096181391,0.086613816,-0.307345164,-0.194883512,-0.962751544,0.286326680,-0.988198009
0.580751506,0.571365587,0.069924784,0.185701554,-0.603223035,0.497283547,-0.481560415
0.867793764,0.923599382,0.846467154,0.779006364,0.058139661,0.299571073,0.415549123
0.457179707,0.148014075,-0.640225876,1.152272939,-0.590891876,0.647850034,-0.636684853
-0.585010680,-0.642024451,-1.599122504,-0.370753181,-1.018791507,-0.037364978,-0.982655406
-0.082301269,0.257144276,-0.410435611,0.307406811,-0.868722717,-0.147352025,0.453480555
0.397038609,-0.479894525,-0.432915317,-0.159001173,-0.496881834,0.232595324,0.838762005
0.309127866,0.791052695,0.927062891,0.354518588,-0.185585768,0.035713238,0.547087178
-0.228995868,0.284109809,0.789751394,0.764598898,-1.310087664,-0.157461349,0.523393072
0.402343471,-0.244611838,-0.042032026,0.065234183,1.416190220,0.084437751,1.642937499
0.574724283,0.899266685,1.153116060,0.945064652,0.921448991,0.012569173,0.126410129
-0.731300104,-0.402253969,-0.694663041,-0.540433724,0.298310177,-0.860243055,0.007606332
-1.323328442,-0.454511645,-0.620273749,0.063912454,-0.741276842,-0.653593059,-0.707155434
-1.767251791,-1.256289314,-1.365254718,-0.793746007,-0.112495514,-0.890691635,-1.938602075
-2.010711810,-1.726926168,-1.720146112,-1.344797850,-1.908185879,-1.932742779,-1.213806623
-1.810909546,-1.248186047,-0.342355615,-1.508595885,-0.854221209,-1.797654578,-0.866036730
-1.116779091,-1.481653994,-1.872392789,-0.594579455,-0.700449437,-1.769560738,-0.660028428
-0.342385059,-0.437185836,-0.708561308,-0.393696580,-0.231731906,-0.660949699,0.567786924
0.219666476,-0.766595760,0.283514286,-0.627572395,0.342880504,0.007292248,0.892053464
0.778243699,0.778077134,0.322935410,0.864140721,0.601826704,1.382748125,1.053425589
0.536514571,0.507102385,0.060356777,0.393551554,0.558898941,0.899551588,0.551893325
0.939506148,1.570055714,1.713228696,1.819837685,0.754468470,0.398963855,0.429378111
0.006784159,0.452204135,0.693009170,0.606532138,-0.851239804,1.466610725,-1.303781304
0.524187599,0.214616235,0.068586477,-0.427623444,-0.388725252,0.296827774,1.245061359
-0.038754468,0.317193016,0.177916859,-0.904661213,-0.000539500,0.243428097,0.563515920
0.268762876,0.217610780,0.608655034,0.141279846,0.686555827,0.009356452,-0.028672384
-0.084450999,0.802903755,0.603869916,0.723302300,-0.033882205,0.079637947,-0.564694029
-0.075045093,0.187097912,-0.575244937,0.455788808,0.203790802,-0.311422698,0.225970227
-0.555942789,-0.339914686,-1.006631583,0.040789365,0.253202785,-0.038245057,-0.854394616
-0.819120453,-0.246213137,-0.024859784,-0.833030515,-0.565387552,-0.810329551,-0.253824114
