Central_face,Forehead,Forehead_left,Forehead_right,Lower_lip,Nose,Peripheral_face
1.351930857,2.634719139,3.181204658,1.874532997,2.109970711,1.052310176,1.441870393
0.725250768,2.179362669,2.129814978,1.165005124,0.707842731,1.179165598,1.699181373
0.277283223,1.979278112,2.180670883,0.948669563,0.394113022,0.815195342,0.569632796
-0.316748455,1.655767552,2.434928305,0.678014311,-0.046208699,0.859378189,-0.147323895
0.101643948,1.733672634,2.544888885,0.196454233,0.198950425,0.441840556,-0.054993416
-1.158735068,1.619754106,2.420699667,0.549876328,-0.172441725,-0.553273912,-0.657633921
-1.117504940,0.708159559,0.801229516,0.232625699,0.321442454,-0.816658603,-1.401040197
-1.828792224,0.483278890,0.576552605,0.487235893,-0.759092098,-1.382360684,-1.146070574
-2.093387466,0.287153197,-0.049935727,0.208612014,-1.142410362,-1.310742219,-1.881529390
-1.610837234,0.294536302,-0.172804026,0.052794420,-0.519009037,-0.494802915,-0.890459216
-0.659864067,0.121426622,-0.263988502,0.033447697,0.149551058,-0.694357131,-1.495777134
0.057689995,0.875941380,0.687187654,0.596816023,-0.427219932,-0.057586018,-0.851825314
0.280621269,1.168778584,0.870547838,0.789935730,0.559303232,0.703830712,-0.441276788
0.654520307,1.435541517,1.266948009,1.200440042,0.819373626,0.500682514,0.668973313
0.491839227,1.295384298,1.163795475,1.073176191,1.559978543,0.767094541,0.084351088
0.777344020,1.216199599,0.636380070,1.723246184,2.297965145,0.819840460,1.016703755
0.764074893,1.371461348,0.989913897,1.746721668,1.483294176,1.335790255,0.441300803
0.919077382,1.885034983,1.603807408,2.014466817,1.253210471,1.283892521,0.303526916
1.082845391,1.560956515,1.304172608,1.604159907,1.522580039,1.104276868,0.704899009
0.643081826,1.319264280,1.064610010,1.601463128,1.379708613,1.376706150,0.439829988
0.700134795,1.118596177,0.335599884,1.786858875,0.963917554,1.343813596,0.548347380
0.743297666,0.725727550,-0.023143934,1.348771237,0.611667103,1.072909544,0.230897584
0.581039503,1.033672536,0.476845533,1.533356819,0.304300125,0.551551001,0.288921663
0.293748061,0.997521701,0.669120933,1.506027039,0.275302990,0.596907820,0.233182480
0.233442969,0.849007697,0.915864886,1.187210200,0.311668497,0.077239065,0.001829351
-0.212696792,0.405884770,0.732254135,0.850776974,-0.451018784,-0.015032297,0.068589319
-0.225594711,0.033577882,0.231136417,0.570092717,-0.322224883,0.078513502,-0.224499574
-0.752013653,-0.145317652,0.020413402,0.266071654,-1.077588139,-0.782851671,-0.464830413
-0.849492731,-0.593701246,-0.733684650,-0.087347610,-1.216086300,-1.002045908,-0.553238232
-0.618215310,-0.565440028,-0.160312847,-0.042273032,-0.676070639,-1.086067712,-0.758321930
-0.987379361,-0.897542364,-0.069692413,-0.915339554,-0.791428132,-1.042779287,-1.060772755
-1.209547267,-1.139267957,-1.010570479,-0.817429496,-0.749902716,-1.466159532,-1.037514492
-1.859009102,-1.328691615,-1.228476154,-1.113968401,-1.530221839,-1.874101109,-1.310274074
-1.672379350,-1.241777045,-1.452828072,-0.695908694,-1.420912827,-1.879249784,-1.015793800
-1.409258007,-0.904720507,-1.090104773,0.313291129,-1.451756325,-1.712012590,-1.422474053
-1.030521061,-1.099218082,-1.000421903,-0.787889808,-0.275246775,-1.083308424,-0.754426965
-0.186424601,-0.643967823,-0.471738744,-0.806052379,0.158166987,-0.311588580,-0.662507557
0.458585416,-0.353680286,-0.796307617,-0.031064536,-0.313433032,0.495406938,0.111179277
0.950984029,0.084427034,-0.049147992,-0.485613397,0.713791336,0.671750442,0.838925500
1.143800796,0.289405528,0.457284958,-0.234046351,1.291198443,0.595391547,0.933784193
0.824836312,0.417750865,0.295911765,-0.651268839,0.864661659,0.913314955,1.475866698
0.857526321,0.853766046,0.908500997,-0.152497874,0.777747533,0.258173711,1.146350255
1.120665758,0.679041264,0.561854803,-0.185910017,0.609703546,0.898896976,1.141924248
0.918107037,0.523879418,0.213791206,0.116914645,0.500632583,0.813058513,1.004739150
0.909371954,0.796557042,0.645104165,0.343204058,0.576318306,0.961709683,1.336282136
1.059348492,0.931708207,0.735469626,1.298798650,0.207221837,0.889685711,1.209588714
0.682520655,0.392058845,0.257343582,0.455965976,-0.593739484,0.615647483,0.953696972
0.397553284,0.112392995,0.066365351,0.049014415,-0.541640496,0.075277661,1.038760193
0.341841364,-0.053005004,-0.143258291,-0.247690017,-0.741142066,0.077485099,0.643757887
0.047113177,-0.345317020,-0.441053649,-0.279229561,-0.342205039,-0.122339657,-0.198560492
-0.053463217,-0.136505451,0.083665723,0.151123871,-0.169189584,-0.559267846,-0.083584354
-0.805299787,-0.382599034,-0.108331546,-0.312159574,-0.843367915,-0.930325010,-0.626879110
-0.648219203,-0.668559356,-0.693377784,-0.543982882,-0.468835175,-0.823050539,-0.646168494
-1.111075861,-1.112056990,-1.125225649,-1.046613292,-1.155174482,-1.068855385,-0.846510772
-1.237201593,-1.131100566,-1.328004577,-0.967087766,-1.287251700,-1.140646313,-1.420973729
-1.619752345,-1.625570507,-1.688022867,-1.497436696,-1.698201209,-1.544905642,-1.857264430
-1.750579621,-1.601664690,-2.263650359,-0.828341771,-2.030919804,-1.683889720,-2.272767055
-1.644343726,-1.780441028,-2.008589388,-1.424597275,-1.629818684,-1.368409664,-1.863825576
-1.549645813,-1.998596859,-2.025405262,-1.883049914,-1.508751024,-1.658396831,-1.411856230
-1.223839996,-1.517399464,-1.632599918,-1.142785311,-1.090633913,-1.085822920,-1.391538073
-0.492591727,-0.821358667,-0.506909563,-1.434474000,-0.370673018,-0.674924567,-0.850971170
0.174265629,-0.472959226,-0.319281072,-0.757067094,0.374287717,0.257566088,-0.041780573
0.143105275,-0.145917792,-0.077214037,-0.490134309,0.553487705,0.274473555,-0.126098103
0.477138612,0.073763187,0.098670313,-0.022981696,0.542430975,0.498774898,0.473154824
0.535214559,0.237143665,0.262837025,-0.252296908,0.390162674,0.518270226,0.202780096
0.548035123,0.328920958,0.402892957,-0.368510966,0.185436192,0.422717620,0.623094782
0.731394057,0.520874045,0.362448978,0.601852278,0.669187274,0.930859838,0.729314110
0.883535537,0.424901996,0.346618547,0.585808771,1.227063408,0.865724180,0.931679691
0.789587040,0.522784646,0.322099330,0.731487727,1.361949415,0.844764111,0.861467169
0.817093285,0.578813665,0.478530395,0.458819971,0.764422609,0.549551623,0.806403185
0.726433561,0.462683892,0.393655919,0.558617237,0.256964810,0.613563813,0.932358386
0.634694525,0.391550833,0.621904587,0.310994749,0.708121234,0.469632257,0.906519640
0.515554448,0.236524217,0.241482040,0.170701496,0.443154955,0.595912618,0.478735833
0.204881344,-0.177760932,-0.055973772,-0.205029022,0.218885389,0.024629555,-0.124452860
0.027415440,-0.404893947,-0.353254691,-0.054254492,-0.007816025,-0.263242227,0.016755474
