Central_face,Forehead,Forehead_left,Forehead_right,Lower_lip,Nose,Peripheral_face
0.164774001,0.357786777,0.014658760,1.028803433,0.515591558,-0.491094749,-0.745971804
0.479890960,0.808760562,0.682741954,0.733311191,0.085206874,-0.077250913,1.047606271
0.829272450,1.014902904,0.963363247,0.693528562,0.686478626,0.090853962,1.229682173
0.948996799,1.017017264,1.308319311,0.795800837,0.695575427,0.403791449,1.424808175
1.100993722,1.154986449,0.919541039,1.487227004,0.244678120,0.938317213,0.777844634
1.272415727,1.492102174,1.546727237,0.697488897,1.368362702,1.199056816,1.603830841
1.195580016,1.803480420,1.838193891,1.066650554,1.210856713,1.472960526,1.798632466
1.167487667,1.581065972,1.370741466,1.357398992,1.460709366,1.067899412,1.049880740
1.828119041,1.559708206,1.547495953,1.444492625,2.274888470,1.204208546,1.621438967
1.584920278,1.461287502,1.169686671,1.364293577,1.295591710,1.288061950,1.527729996
1.520960860,1.755774400,1.753266861,1.467207497,1.970032075,1.567092536,1.900188474
1.519945851,1.341180055,1.510488126,0.534941312,1.189933183,1.306075894,1.557370761
1.149066854,1.639635058,1.551451588,1.605098905,0.848489458,1.014793321,1.594205383
1.044311818,1.369835350,1.532783791,1.322560586,0.868985127,0.838855166,1.288358115
0.624880142,0.991453508,0.594008207,1.608997313,0.840958139,0.691322037,1.683513055
0.384134849,0.994298389,0.999248002,0.999352979,0.427233324,0.598269440,0.910786847
0.326686676,0.627202966,0.423592273,1.324788351,0.193916723,0.520967292,0.559122424
-0.427779644,0.637075645,0.423501136,1.977742622,-0.648790434,-0.039953214,-0.058181047
-0.555679157,0.247974272,0.100451670,0.813445022,-0.974824900,-0.085100028,-0.035737588
-1.019939386,0.736356703,0.526815682,2.196123837,-0.592188031,-1.090784410,0.091029276
-1.327805197,-0.228504389,-0.267827497,0.514960331,-1.386951258,-1.548435952,0.039821567
-1.146929982,-0.678662502,-0.606974567,0.338588204,-0.793237852,-1.872822127,-0.569970297
-0.636741926,-0.912764849,-0.941868300,0.222107689,-0.343784078,-0.975143862,0.113839535
-0.499558306,-0.478853857,-0.099408089,-0.993943686,-0.990607471,-0.835795722,0.156103326
0.265729095,-0.200874447,-0.201697628,-0.099328310,-0.258894236,-0.257329280,0.378635112
0.681271319,0.642443016,0.461284282,0.769226971,0.270399113,0.168846621,1.300095540
0.664945162,0.381535625,0.613549244,0.043834198,-0.153696862,0.607548052,0.887243008
0.836635063,0.494216194,0.287500461,-0.058352801,0.405770736,0.737076658,1.392845337
1.141052418,0.926230222,0.723094956,0.949641463,0.539218424,1.130341204,1.111271371
1.173136787,0.854035411,1.009086752,-0.016782519,0.965454359,1.627871172,1.289057132
1.118338485,1.160254994,1.409362999,1.055635006,1.083055720,1.415459409,1.026703187
1.063687179,0.717437192,0.880457054,0.334723543,0.748744971,0.986872817,0.618274364
1.077564140,0.532806618,0.597028375,0.172297009,1.022779812,0.943250808,0.484907242
1.142619555,0.464351020,0.482437946,-0.009548024,0.811671528,0.845598225,0.423061623
1.007068478,0.656459890,1.005162242,0.169313091,0.747868750,1.002784408,0.274822951
1.054810141,0.920457855,1.036430363,0.455623596,0.652316468,0.983998537,0.697635888
0.776439574,0.888337843,1.122437898,0.398221048,0.695129258,0.771689394,0.568645576
0.719545504,0.651321182,0.794054059,-0.248555384,0.855285295,0.319736296,0.436746643
0.333376712,0.521096267,0.502456136,0.180700838,0.225545135,0.465524693,0.426664313
0.082972848,-0.162057145,-0.008866497,-0.162374308,-0.431244031,0.193744379,-0.310598827
-0.241956733,-0.188672992,0.080262482,-0.690781803,0.131326430,0.513314647,-0.189967996
-0.452367348,-0.925463238,-0.583560365,-1.260368380,0.055473072,-0.318942272,-0.341822200
-1.001156018,-0.979320402,-0.621289407,-1.178690678,-0.706614901,-1.163849594,-1.008960081
-1.244378190,-0.714622409,-0.528252372,0.422048633,-1.208806111,-1.393173064,-1.031059026
-1.263683858,-1.357210496,-1.110190652,-1.463412250,-1.318478639,-1.440236260,-0.740710410
-0.750518518,-0.847445044,-0.566202315,-0.281521152,-0.867942166,-1.492002012,-0.724430821
-0.662081509,-0.696302478,-0.303631117,-1.401014618,-0.676244799,-0.776959240,-0.619309886
-0.260958652,-0.552561504,-0.422120368,-0.764711344,-0.328744601,-0.291775092,-0.195643174
0.073196229,0.063217851,0.021766646,0.104233337,0.460201055,-0.127904742,-0.028525009
0.655454148,0.247527095,0.601484287,-0.088314015,0.603319057,-0.069576833,0.431841869
1.003047264,0.766404176,0.624694913,0.605919519,1.208493574,0.051412272,0.702256406
1.187335475,0.383915468,0.520035001,-0.724985195,1.576817506,0.473954583,0.660246655
1.030828663,0.737393833,0.510577144,0.364217398,1.385450812,0.341209794,1.247640740
1.136515906,0.904682692,0.644653402,0.002569315,1.524666153,0.617124261,0.951275460
0.963697066,1.315021806,1.204305447,0.322413413,1.382524164,0.868993844,1.283232463
0.493011258,1.272080926,1.022682750,0.545406911,1.421859939,0.673448841,1.406124715
0.627590999,1.096054761,0.922754029,1.598374273,1.116524796,0.663502503,0.631717870
0.471019570,0.864083866,0.839976197,0.728281059,0.309647705,0.662966171,0.305096875
0.174628476,1.035115957,1.140319625,1.240871398,0.243060075,0.190816224,0.209059093
-0.250820261,0.186533732,0.255174602,0.450452625,-0.541285001,0.233719708,-0.210613722
-0.842384226,-0.866254030,-0.712976214,-1.166455680,-0.836319623,-0.431161015,-0.165382041
-0.712440638,-0.896610491,-0.783981208,-0.204070122,-0.899209445,-1.315255524,-0.118960477
-1.259047763,-0.993703665,-0.624713861,-1.704306564,-1.559539260,-1.545039893,-0.702546991
-1.384370209,-1.213018489,-0.789745570,-1.263861324,-1.529181384,-1.604651467,-0.323299464
-1.601246263,-1.657490185,-1.659682106,-1.731442513,-1.822271823,-1.612993845,-0.527114573
-1.812820486,-1.568772292,-1.442334788,-1.088692745,-1.768659539,-2.092038571,-1.036539285
-1.779364381,-1.759702501,-1.468552036,-1.608383462,-1.846727920,-2.196759243,-1.295111476
-1.326887519,-1.402528703,-1.153354719,-1.462548348,-1.377683607,-1.585696647,-0.597884172
-0.976687895,-1.172554746,-1.116671938,-1.312984390,-1.122940258,-1.024347745,-0.381849061
-0.275021155,-0.707426528,-0.743563517,-1.191059369,-0.525645978,-0.683191561,0.035746366
0.014844559,-0.218240323,-0.350867565,0.272120477,-0.130168550,0.074299453,0.322554322
0.103503954,0.230860684,-0.229129289,0.813768717,-0.121201042,-0.260593418,-0.019245291
0.280408152,0.201701982,0.111019493,0.044816099,0.299005302,0.337071596,-0.870010468
0.817284549,0.633638367,0.593210132,0.389822531,0.282088271,0.260416300,0.210771392
0.628076788,0.923064522,0.468400865,1.046617028,0.069989126,0.511998213,-0.172445411
0.730035233,1.060435445,0.864879468,0.754635069,0.247173024,0.649927738,-0.257338665
0.663818714,0.735641701,0.590588150,1.499073227,0.460169419,0.590999662,-0.018450500
0.652829398,0.709723482,0.835423981,0.545091912,0.076330153,0.876149971,-0.363144732
0.653798874,0.697040288,0.700467103,1.474927215,0.418407511,0.545602898,-0.479434711
0.451712427,0.767030274,0.625938054,0.784924417,0.843566240,0.418864266,-0.316680117
0.708246602,0.525258103,0.611462504,0.547009945,0.490876651,0.237817680,0.538674150
-0.143997052,-0.105789222,0.290502266,-0.017921629,-0.271142442,0.369451992,0.398008337
0.169739640,0.017663460,-0.094802464,1.183605683,-0.081972051,0.029494130,0.465652206
-0.240597506,-0.098459857,0.436394199,-0.184490197,-0.221902436,-0.593400127,0.015911696
-0.515272329,-0.260630218,0.272395379,0.047303358,-0.727226688,-0.452801993,0.333059292
-1.065050766,-0.721282406,-0.363487658,-0.185683422,-0.641350813,-0.965577525,-0.619965086
-1.322250066,-0.652592393,-0.376694417,-0.413993426,-0.547937515,-1.307868942,-0.629955052
-1.584235123,-1.286017920,-0.375150211,-1.451223659,-1.003930390,-1.571526307,-1.776406474
-1.741247646,-1.651515340,-1.277216789,-1.347444090,-1.289788932,-1.526526219,-1.589248989
-1.761072399,-1.722105951,-1.596465574,-0.870628391,-1.106094973,-1.680178789,-2.374710460
-0.976642208,-1.664782981,-1.491624210,-1.788236772,-1.449138942,-0.857259184,-1.256054871
-0.190041581,-1.448241171,-1.324168569,-1.255630623,-0.913786863,-0.678762697,-0.492465147
0.052162169,-0.834351107,-1.160837435,-1.163074016,0.083758774,-0.375005791,-0.728524546
